"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Hong Kong","HKG",20201006,"C4: Restrictions on gatherings",4,"National","The HK Government announced on 6 October that, from 9-15 October, team sports at public skating rinks are allowed from 5 October to have 'more than four participants based on the particular team sports activities. Unless exempted, the prohibition on group gatherings of more than four people in public places will continue during the above seven-day period'.    https://archive.vn/9VY9n","hong kong","restrictions on gatherings of <= 10 people"
"Honduras","HND",20201002,"C4: Restrictions on gatherings",4,"National","No gatherings over 10 people.    https://web.archive.org/web/20201014011702/https://www.worldaware.com/critical-alert-honduras-extends-nationwide-coronavirus-disease-related-curfew-and-movement","honduras","restrictions on gatherings of <= 10 people"
"Croatia","HRV",20200907,"C4: Restrictions on gatherings",2,"National","Restrictions on gatherings of people, initially removed, were  reinstated on 10 July, as organisers must now register gatherings of more than 100 people in  advance and provide the authorities with information on the participants in case any are infected.    https://web.archive.org/web/20200901041257/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Croatia.pdf  ","croatia","restrictions on gatherings between 101-1000 people"
"Haiti","HTI",20201012,"C4: Restrictions on gatherings",4,"National","It remains the case that “gatherings of more than 10 people are not permitted.” Source: http://web.archive.org/web/20201012152619/https://www.gov.uk/foreign-travel-advice/haiti/coronavirus","haiti","restrictions on gatherings of <= 10 people"
"Hungary","HUN",20201001,"C4: Restrictions on gatherings",2,"National","""Indoor events with over 500 attendees are currently banned.""  http://web.archive.org/web/20201011065236/https://www.gov.uk/foreign-travel-advice/hungary/coronavirus","hungary","restrictions on gatherings between 101-1000 people"
"Indonesia","IDN",20200928,"C4: Restrictions on gatherings",4,"Regional","On the 24th of September, The Provincial Government (Pemprov) of DKI Jakarta has again extended the Large-Scale Social Restrictions (PSBB) in Jakarta because there is still a potential for an increase in the number of positive cases of COVID-19 if the easing is implemented from 28th September until 11October 2020  http://web.archive.org/web/20200929070848/https://jakarta.go.id/artikel/konten/6914/tekan-kenaikan-kasus-covid-19-pemprov-dki-perpanjang-psbb-di-jakarta","indonesia","restrictions on gatherings of <= 10 people"
"India","IND",20201013,"C4: Restrictions on gatherings",4,"Regional","Cinemas, theatres, multiplexes, entertainment parks and other similar places outside the containment zones will be allowed to open from Oct 15, with up to 50% of their seating capacity, for which the SOP’s will be issued by the Ministry of Information & Broadcasting.      https://web.archive.org/web/20201013071047/https://covidindia.org/wp-content/uploads/2020/10/MHAOrderDt_30092020.pdf","india","restrictions on gatherings of <= 10 people"
"Ireland","IRL",20201007,"C4: Restrictions on gatherings",3,"Regional","https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/","ireland","restrictions on gatherings between 11-100 people"
"Iran","IRN",20201006,"C4: Restrictions on gatherings",4,"National","Effective October 3rd. Universities, schools, cinemas, hair and beauty salons, events, sports clubs, cafes, indoor pools and gyms should be among places that should be shut down for one week in the capital. /web/20201014011646/https://www.aljazeera.com/news/2020/10/3/iran-to-implement-stricter-restrictions-as-covid-cases-mount","iran","restrictions on gatherings of <= 10 people"
"Iraq","IRQ",20200731,"C4: Restrictions on gatherings",4,"National","According to Middle East monitor news published on 23rd July , 2020 ,""A full lockdown will be imposed across Iraq during the Eid Al-Adha holiday which starts on 31 July to prevent the spread of the COVID-19, the Ministry of Health announced yesterday.    Linkhttps://web.archive.org/web/20200808110446/https://www.middleeastmonitor.com/20200723-iraq-to-impose-full-lockdown-during-eid-to-prevent-covid-19/  Iraqi Authorities  introduced complete lockdown nationwide till August 9.  Link:https://web.archive.org/web/20200808111349/https://www.garda.com/crisis24/news-alerts/363481/iraq-authorities-announce-total-lockdown-for-eid-al-adha-holiday-until-august-9-update-44","iraq","restrictions on gatherings of <= 10 people"
"Iceland","ISL",20201005,"C4: Restrictions on gatherings",3,"National","""Number limitation . Restrictions on the number of persons coming together are limited to 20 adults, whether in private or public spaces. This includes:  Conferences, seminars, outdoor meetings, etc.  Teaching, lectures and exams.  Entertainment, such as concerts, cultural events, theatrical performances, cinemas, sporting events and private events.  Church services, such as weddings, confirmations, and other religious gatherings.  Other similar events with more than 20 individuals.  The number limit, general proximity limit and mask obligation do not apply to children born in 2005 or later.    At all workplaces and in all activities, no more than 20 people may be inside the same space at the same time. It must be ensured that there is no communication between spaces.    Stores may have up to 100 people inside at a time as long as it is possible to secure 1 meter between people. Stores that are over 1,000 m2 in size may allow an additional one customer for every 10 sqm that is in excess of this 1,000 sqm. However, the maximum number of customers is always 200.    Up to 50 people may attend the funeral.""    ""The restriction takes effect on 5 October 2020 and is valid until and including 19 October 2020.""    Link: https://archive.fo/YAzzh","iceland","restrictions on gatherings between 11-100 people"
"Israel","ISR",20201010,"C4: Restrictions on gatherings",4,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Israel announced a 3 week national lockdown effective 18 September from 14:00 until 11 October 2020.     The regulations also generally cap indoor gatherings at 10 people, and 20 outdoors. There is a restriction of gatherings according to the color red in the ‘traffic light’ model – up to 10 people in a closed space and up to 20 in an open area. In areas that are not red: in closed structures, prayer shall be permitted in groups of up to 25 people.     https://web.archive.org/web/20201001092512/https://www.timesofisrael.com/israels-lockdown-rules-effective-from-september-18-at-2-p-m/     https://web.archive.org/web/20201001093334/https://www.timesofisrael.com/who-by-prayer-who-by-protest-a-guide-for-the-lockdown-perplexed/ ","israel","restrictions on gatherings of <= 10 people"
"Italy","ITA",20201006,"C4: Restrictions on gatherings",3,"National","The new Decree signed 13 October 2020 strongly recommends avoiding parties and avoiding meetings between more than *6* non-cohabiting persons in private homes. Parties following civil or religious ceremonies can be held with the maximum participation of *30* people in accordance with the protocols and guidelines. Access to places of worship is permitted so long as social distance protocols can be followed (1 meter).    Indoor sporting events are still limited to 200 spectators as previously noted; however, this indicator is meant to code private gatherings.    https://web.archive.org/web/20201013210123/http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5119","italy","restrictions on gatherings between 11-100 people"
"Jamaica","JAM",20200908,"C4: Restrictions on gatherings",3,"National","'Persons in public spaces will not be allowed to gather in groups exceeding 15 persons [reduced from 20] as of Tuesday, September 8, 2020, ending Tuesday, September 22, 2020.' This includes the place of worship and funerals.    https://archive.vn/dRwtR","jamaica","restrictions on gatherings between 11-100 people"
"Jordan","JOR",20200925,"C4: Restrictions on gatherings",3,"National","""As per Defense Order No. 16, wedding parties, mournings, and social gatherings of all kinds exceeding twenty people are banned, according to Adaileh.""    https://web.archive.org/web/20201004210306/https://menafn.com/1100814917/Jordan-Government-announces-Defense-Order-16-says-Adaileh      https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","restrictions on gatherings between 11-100 people"
"Japan","JPN",20200924,"C4: Restrictions on gatherings",0,NA,"Large gatherings are permitted to a maximum of 5000 people.  http://web.archive.org/web/20201004001615/https://jp.usembassy.gov/covid-19-information/   ","japan","no restrictions"
"Kazakhstan","KAZ",20200817,"C4: Restrictions on gatherings",4,"National","From 17th August 2020 onwards, the state commission decided to allow individual and group (no more than five people) outdoor workouts.  https://web.archive.org/web/20200817161532/https://astanatimes.com/2020/08/kazakhstan-to-partially-lift-quarantine-restrictions-starting-aug-17/","kazakhstan","restrictions on gatherings of <= 10 people"
"Kenya","KEN",20200929,"C4: Restrictions on gatherings",3,"National","""On the 28th of September, the Government of Kenya directed that large gatherings, meetings, conferences and political events over 15 people remain suspended.""  https://web.archive.org/web/20201008014524/https://ke.usembassy.gov/covid-19-information/","kenya","restrictions on gatherings between 11-100 people"
"Kyrgyzstan","KGZ",20201003,"C4: Restrictions on gatherings",4,"Regional","No new change can be found on web.  ""Large gatherings are currently prohibited.""    https://web.archive.org/web/20201014082154/https://kg.usembassy.gov/covid-19-information/","kyrgyzstan","restrictions on gatherings of <= 10 people"
"Cambodia","KHM",20200925,"C4: Restrictions on gatherings",2,"National","On September 8, Cambodia lifted its ban on gatherings at mosques.  Cambodia reopened mosques and churches on September 12.  http://web.archive.org/web/20201004010035/https://www.csis.org/programs/southeast-asia-program/southeast-asia-covid-19-tracker-0  ","cambodia","restrictions on gatherings between 101-1000 people"
"South Korea","KOR",20201012,"C4: Restrictions on gatherings",3,"Regional","Starting today, October 12, stage 1 of social distancing comes into effect in compliance to personal quarantine rules such as “wearing a mask, keeping a safe distance, and washing hands.”     Gatherings of more than 50 people indoors and more than 100 people outdoors ban is lifted for the general public. However, temporary gatherings are limited to one person per (4m)^2 of facility area. Moreover, facilities such as restaurants, wedding halls, and academic institutions are recommended to refrain from gatherings of 50 people indoors and 100 people outdoors.     Churches are allowed to operate in 30% of total capacity, but meals after service are prohibited.    High-risk facilities such as clubs and pubs are allowed to open with mandatory rules such as wearing face masks and managing a thorough list of visitors, restrictions on the number of people allowed follows the one person per (4m)^2 of facility area.    Archived web: https://archive.vn/w0mee","south korea","restrictions on gatherings between 11-100 people"
"Kuwait","KWT",20200916,"C4: Restrictions on gatherings",2,"National","Many types of social gatherings, including weddings, receptions, and public and private diwaniyas, are banned.    https://web.archive.org/web/20201002063959/https://kw.usembassy.gov/covid-19-information/","kuwait","restrictions on gatherings between 101-1000 people"
"Laos","LAO",20200922,"C4: Restrictions on gatherings",0,NA,"Social gatherings, weddings and traditional events are now permitted as long as COVID-19 prevention measures and social distancing of 1m are in place.  http://web.archive.org/web/20201001184734/https://www.gov.uk/foreign-travel-advice/laos/coronavirus  Restaurants, grocery stores, and schools/universities are open, and large gatherings and religious ceremonies are permitted.  http://web.archive.org/web/20201001185759/https://la.usembassy.gov/covid-19-information/   ","laos","no restrictions"
"Lebanon","LBN",20200818,"C4: Restrictions on gatherings",0,NA,"All Covid-19 related restrictions appear to have been lifted after the tragedy of the Port of Beirut explosion.   https://web.archive.org/web/20200826164623/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","lebanon","no restrictions"
"Liberia","LBR",20200831,"C4: Restrictions on gatherings",4,"National","Part of the “Revised COVID-19 Declaration of National Health Emergency”  - minimum of three people. See: https://m.facebook.com/story.php?story_fbid=1026786474444887&id=699881103802094 (web archive unavailable, accessed 14th September 2020)","liberia","restrictions on gatherings of <= 10 people"
"Libya","LBY",20200710,"C4: Restrictions on gatherings",4,"National","Libya’s Presidential Council of the Government of National Accord gave instructions to extend the general country-wide curfew for 15 days effective from Saturday, July 18. (image of the presidential council’s statement is in this news article) https://web.archive.org/web/20200719013234/https://tabadul.tv/en/2020/07/18/libyas-internationally-recognized-government-to-extend-curfew-hours/","libya","restrictions on gatherings of <= 10 people"
"Sri Lanka","LKA",20200910,"C4: Restrictions on gatherings",2,"National","Hotel management needs to accommodate only up to 50% of the venue’s capacity and have it capped at 100 guests per event  https://archive.fo/Fiv2b#selection-1905.0-1905.119","sri lanka","restrictions on gatherings between 101-1000 people"
"Lesotho","LSO",20201002,"C4: Restrictions on gatherings",3,"National","Public gatherings also permitted for not more than 50 people if indoors and 100 if outdoors. No food and alcohol are allowed to be served at public gatherings.    http://web.archive.org/web/20201012124445/https://www.gov.uk/foreign-travel-advice/lesotho/coronavirus","lesotho","restrictions on gatherings between 11-100 people"
"Lithuania","LTU",20201009,"C4: Restrictions on gatherings",4,"Regional","https://web.archive.org/web/20201011210425/https://www.gov.uk/foreign-travel-advice/lithuania/coronavirus. From Friday 9 October, Raseiniai District will be subject to local lockdown restrictions, for an initial period of 14 days. ","lithuania","restrictions on gatherings of <= 10 people"
"Luxembourg","LUX",20201001,"C4: Restrictions on gatherings",4,"National","No policy change. However, The previous law on the remote holding of meetings of the decision-making bodies of companies and other legal persons concerned has been extended to 31 December 2020. the law was supposed to end 30 September 2020.  http://web.archive.org/web/20201006123214/https://coronavirus.gouvernement.lu/fr/communications-officielles.gouvernement%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B09-septembre%2B23-mesures-covid19-ag.html  ","luxembourg","restrictions on gatherings of <= 10 people"
"Latvia","LVA",20201003,"C4: Restrictions on gatherings",2,"National","The number of visitors of a cultural event in the premises may not exceed 500 (regardless of the size of the premises), and at the time no more than 50% of the room capacity may be exceedes while providing an area of 3 m2 per visitor; Up to 1000 visitors can gather at an outdoor cultural event;    https://web.archive.org/web/20201014151538/https://covid19.gov.lv/en/support-society/how-behave-safely/organisers-cultural-events","latvia","restrictions on gatherings between 101-1000 people"
"Macao","MAC",20200929,"C4: Restrictions on gatherings",0,NA,"Public events and private gatherings during the Chinese National holidays are allowed with preventive measures.  http://web.archive.org/web/20201009014114/https://www.gov.mo/zh-hans/news/308586/","macao","no restrictions"
"Morocco","MAR",20200823,"C4: Restrictions on gatherings",3,"National","23rd August 2020, Morocco’s authorities announced the closure of all the beaches on the coast of the communes of Sidi Rahal Chati and Soualem Trifia in Berrechid, 38.1 kilometers from Casablanca and other beaches in Casablanca, Mohammedia, Benslimane, including Bouznika beach. The decision is part of a series of actions by Moroccan authorities to  straighten preventive measures and halt the spread of COVID-19.    https://web.archive.org/web/20200827204222/https://www.moroccoworldnews.com/2020/08/316318/morocco-closes-more-beaches-to-contain-covid-19-spread/  ","morocco","restrictions on gatherings between 11-100 people"
"Moldova","MDA",20200916,"C4: Restrictions on gatherings",3,"National","On 11 September, the National Extraordinary Public Health Commission (CNESP) ruled 'to extend the emergency state in the public health sector [which was extended to 15 September in late August] till 30 September'.   Meanwhile, the restriction on the organization of weddings and christening parties were removed. 'These events are allowed with condition of participation of a smaller number than 50 people and with the strict observance of the anti-epidemic measures. And group meetings are allowed to be organized (not more than 50 people).'    https://archive.vn/h91L2","moldova","restrictions on gatherings between 11-100 people"
"Madagascar","MDG",20201005,"C4: Restrictions on gatherings",2,"National","Curfews that were previously introduced in multiple areas of Madagascar were lifted. Authorities have also announced the easing of public gathering restrictions from Monday, permitting groups of up to 200 to gather for religious, cultural, and sporting events.    https://web.archive.org/web/20201012213846/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19    https://web.archive.org/web/20201012214310/https://www.garda.com/crisis24/news-alerts/386456/madagascar-covid-19-curfew-lifted-as-state-of-health-emergency-extended-until-october-18-update-18","madagascar","restrictions on gatherings between 101-1000 people"
"Mexico","MEX",20200918,"C4: Restrictions on gatherings",3,"Regional","In some states and municipalities there are restrictions on large gatherings. However, an exact number isn't mentioned.    http://web.archive.org/web/20200927195013/https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/","mexico","restrictions on gatherings between 11-100 people"
"Mali","MLI",20200915,"C4: Restrictions on gatherings",3,"National","Gatherings of more than 50 are still prohibited but according to the UK Foreign Office, 'take up is extremely poor'.   https://web.archive.org/web/20200924144812/https://www.gov.uk/foreign-travel-advice/mali/coronavirus","mali","restrictions on gatherings between 11-100 people"
"Myanmar","MMR",20201005,"C4: Restrictions on gatherings",4,"Regional","On 5th October, the Ministry of Health and Sports issued an order for the Stay-at-Home programme which had expanded to cover people in all townships, except for Cocogyun Township.   http://web.archive.org/web/20201006153325/https://eurocham-myanmar.org/post/652/Announcement-on-Stay-at-Home-Programme-on-All-Township-Except-for-Cocogyun-Township   http://web.archive.org/web/20201006150824/https://eurocham-myanmar.org/uploads/39cff-stay-at-home-for-all-township-except-cocogyun-township-eng-ver.pdf   ","myanmar","restrictions on gatherings of <= 10 people"
"Mongolia","MNG",20200708,"C4: Restrictions on gatherings",0,NA,"Could not find anything specific about","mongolia","no restrictions"
"Mozambique","MOZ",20201001,"C4: Restrictions on gatherings",3,"National","On September 7, Mozambique transitioned from a State of Emergency (SOE) to a State of Public Calamity (SOPC). The SOPC will allow for the gradual resumption of the following activities:    - Private social events are permitted with up to 40 attendees.  - Religious services are permitted at 50 percent capacity, up to 150 attendees.    https://web.archive.org/web/20201013074437/https://mz.usembassy.gov/covid-19-information/","mozambique","restrictions on gatherings between 11-100 people"
"Mauritania","MRT",20200925,"C4: Restrictions on gatherings",0,NA,"The US Embassy continues to indicate that large public and religious gatherings are permitted.  https://web.archive.org/web/20201007023358/https://mr.usembassy.gov/covid-19-information-2/","mauritania","no restrictions"
"Mauritius","MUS",20200612,"C4: Restrictions on gatherings",0,NA,"""The Prime Minister announced that following the Cabinet Meeting today, decision has been taken for the lift of all business and activity lockdowns ordered earlier to cope with the Covid-19, as from Monday 15 June 2020. Consequently, beaches, markets, gyms, parks, Village Halls, Community Centres, cinema and other public places will now be accessible to the public but the wearing of masks will still be compulsory.""    https://web.archive.org/web/20200617154020/http://www.govmu.org/English/News/Pages/Covid-19-We-should-be-proud-of-the-way-we-have-tackled-the-situation,-says-PM.aspx","mauritius","no restrictions"
"Malawi","MWI",20200918,"C4: Restrictions on gatherings",3,"National","Schools have been closed since 23 March and gatherings of more than 100 people are banned. Source: http://web.archive.org/web/20200608130226/https://www.gov.uk/foreign-travel-advice/malawi/entry-requirements","malawi","restrictions on gatherings between 11-100 people"
"Malaysia","MYS",20200911,"C4: Restrictions on gatherings",2,"National","""Activities such as live entertainment, clubs and crowds at sporting events remain banned (...)""    Sources: http://web.archive.org/web/20200920094328/https://www.channelnewsasia.com/news/commentary/malaysia-movement-control-order-mco-lifting-recovery-restriction-13071162","malaysia","restrictions on gatherings between 101-1000 people"
"Namibia","NAM",20200926,"C4: Restrictions on gatherings",3,"National","Public gatherings limited to 50 persons, including at weddings, funerals and religious gatherings. See: https://na.usembassy.gov/covid-19-information/; https://www.gov.uk/foreign-travel-advice/namibia/coronavirus [accessed 5th October, 2020, web archive unavailable]","namibia","restrictions on gatherings between 11-100 people"
"Niger","NER",20201012,"C4: Restrictions on gatherings",0,NA,"Per government site nothing noted about closings.    /web/20201012161509/https://coronavirus.ne/","niger","no restrictions"
"Nigeria","NGA",20200925,"C4: Restrictions on gatherings",3,"National","Public spaces and services  Gatherings of over 50 people outside of work places are prohibited. Places of worship are permitted to hold services, subject to limitations set by state authorities.    Visits to public institutions, including government buildings, have been limited.  Source: http://web.archive.org/web/20201004073242/https://www.gov.uk/foreign-travel-advice/nigeria/coronavirus","nigeria","restrictions on gatherings between 11-100 people"
"Nicaragua","NIC",20201001,"C4: Restrictions on gatherings",0,NA,"No change.","nicaragua","no restrictions"
"Netherlands","NLD",20200929,"C4: Restrictions on gatherings",4,"National","During a national press conference, Prime Minister Mark Rutte and Minister of Health Hugo de Jonge announced new national measures that come into effect on Tuesday 29 September at 18.00 and will be in force for at least the next 3 weeks.  The new measures include:  - You can host no more than 3 guests in your home, garden or on your balcony. This is in addition to members of your own household and does not include children under the age of 13.  - In other buildings, no more than 4 people can form a group. This does not include children under the age of 13. This means that a single household or 4 people (maximum) – excluding children – can make a reservation at a cinema or restaurant.  - The number of people in one room is limited to 30 people. This includes children under 13 but excludes staff.    While there are a number of exceptions for private events (including funerals, and youth group meetings), there are restrictions qualifying for a 4 definitively in place. Hence, 4G maintained.  https://web.archive.org/web/20201008115110/https://www.government.nl/topics/coronavirus-covid-19/news/2020/09/28/additional-measures-to-combat-the-spread-of-coronavirus  ","netherlands","restrictions on gatherings of <= 10 people"
"Norway","NOR",20201003,"C4: Restrictions on gatherings",2,"National","""Requirements for conducting an event with up to 200 participants  There must be a public room or outdoor area large enough for you to carry out the event with at least one meter between the guests.  Those who belong to the same household or are closest to each other must not be one meter away.  Everyone present must be healthy.  There can be no more than 200 people in total.  A responsible organizer must be appointed.  Write down the names and contact information of everyone present, for use in a possible infection trace.  Makes it easy for guests to wash their hands, both when they arrive and along the way.  Employees or contractors who are responsible for the implementation of an event in a public place are not considered part of the event.  There is a requirement for table service of alcohol at events with a license to serve alcohol.  Alcohol served must be drunk by 00:30.""    http://web.archive.org/web/20201005121649/https://www.helsenorge.no/koronavirus/reise/","norway","restrictions on gatherings between 101-1000 people"
"Nepal","NPL",20200831,"C4: Restrictions on gatherings",3,"National","Nepali police fired tear gas and water cannon to half a chariot festival in Kathmandu that drew hundreds of Hindus and Buddhists onto the streets in defiance of coronavirus restrictions. See news agency CNA website, archived: https://web.archive.org/web/20200905091847/https://www.channelnewsasia.com/news/asia/covid-19-nepal-police-clash-devotees-defying-ban-festival-13080140","nepal","restrictions on gatherings between 11-100 people"
"New Zealand","NZL",20200923,"C4: Restrictions on gatherings",3,"Regional","At the same time on Wednesday, Auckland’s rules will ease further, allowing gatherings of up to 100 – instead of 10. Businesses will be required to maintain physical distancing and masks will still be mandatory on planes and public transport.  https://web.archive.org/web/20200928122703/https://www.theguardian.com/world/2020/sep/21/relief-as-much-of-new-zealand-eases-out-of-coronavirus-restrictions","new zealand","restrictions on gatherings between 11-100 people"
"Oman","OMN",20201011,"C4: Restrictions on gatherings",4,"National","All forms of family and social gatherings remain prohibited until further notice.    https://archive.vn/ybOQA","oman","restrictions on gatherings of <= 10 people"
"Pakistan","PAK",20200929,"C4: Restrictions on gatherings",2,"Regional","No changes found.    from 17th September, maximum number of guests allowed in weddings is 350 people. This however, depends on the size of the area and the local situation of the virus.    http://web.archive.org/web/20200917133827/http://covid.gov.pk/new_guidelines/17September2020_20200917_Marriage_Halls_and_Marquees_Reopening_during_COVID_19_4503.pdf","pakistan","restrictions on gatherings between 101-1000 people"
"Panama","PAN",20200824,"C4: Restrictions on gatherings",3,"National"," It is still current that gatherings larger than 50 people are banned. See U.S. Embassy in Panama website, archived: http://web.archive.org/web/20200903161415/https://pa.usembassy.gov/covid-19-information/#Movement%20Restrictions","panama","restrictions on gatherings between 11-100 people"
"Peru","PER",20201001,"C4: Restrictions on gatherings",4,"National","""All social gatherings, including those held in homes and with family, are prohibited in all of Peru.""https://web.archive.org/web/20201009005310/https://pe.usembassy.gov/covid-19-information/","peru","restrictions on gatherings of <= 10 people"
"Philippines","PHL",20201001,"C4: Restrictions on gatherings",0,NA,"No change in policy found.","philippines","no restrictions"
"Papua New Guinea","PNG",20200925,"C4: Restrictions on gatherings",3,"National","""An immediate ban is placed on gathering over 50 persons, unless authorized by the Controller"" - Pandemic Measures updated on 5th October.    https://web.archive.org/web/20201006124957/https://covid19.info.gov.pg/files/National%20Pandemic%20Measures/Pandemic%20Measures%2005102020/M%209%20Oct%202020.pdf","papua new guinea","restrictions on gatherings between 11-100 people"
"Poland","POL",20200929,"C4: Restrictions on gatherings",0,NA,"For further coding: this is going to change from Saturday (10.10.2020) onwards:  https://www.reuters.com/article/idUSW8N2EZ01G","poland","no restrictions"
"Puerto Rico","PRI",20200821,"C4: Restrictions on gatherings",3,"National","As part of the Executive Order 2020-062 (20 August), all public or private activities that imply mass gatherings are banned on the Island.    * Official decree (see 2020-062, page 37)  http://web.archive.org/web/20200831194511/https://www.estado.pr.gov/en/executive-orders/    * Other sources  http://web.archive.org/web/20200831195227/https://www.efe.com/efe/usa/puerto-rico/gobernadora-de-puerto-rico-emite-nueva-orden-para-frenar-el-coronavirus/50000110-4310218","puerto rico","restrictions on gatherings between 11-100 people"
"Portugal","PRT",20200918,"C4: Restrictions on gatherings",3,"Regional","All gatherings of over 10 people are prohibited. Source: http://web.archive.org/web/20201001120548/https://pt.usembassy.gov/covid-19-information/","portugal","restrictions on gatherings between 11-100 people"
"Paraguay","PRY",20200825,"C4: Restrictions on gatherings",4,"National","In addition to the activities permitted during Phase 1, 2 and 3, Phase 4 consists on the reopening of hotels and events in observance of health and safety protocols. In addition, religious meetings may be held with a maximum of 50 people; social gatherings with no more than 10 people; while events can reach 20 people with registration controls.  Source: http://web.archive.org/web/20200902165354/https://www.gov.uk/foreign-travel-advice/paraguay/staying-during-coronavirus  ","paraguay","restrictions on gatherings of <= 10 people"
"Palestine","PSE",20200702,"C4: Restrictions on gatherings",3,"National","No new policy identified for this period","palestine","restrictions on gatherings between 11-100 people"
"Qatar","QAT",20200728,"C4: Restrictions on gatherings",3,"National","According to the COVID-19 Qatar National Response Plan, Qatar enters into the phase 3 on July 28th . the regulation allows limited gatherings of up to 10 people indoors, 30 people outdoors.  http://web.archive.org/web/20200801154507/https://covid19.moph.gov.qa/EN/Documents/PDFs/ENG%20PHASE%20III.pdf  ","qatar","restrictions on gatherings between 11-100 people"
"Romania","ROU",20200903,"C4: Restrictions on gatherings",3,"National","'The number of non-related people allowed to form a group in public has increased to 6 (previously 3). The maximum number of people allowed to take part in a private event has been raised to 20 for indoor events, and 50 for outdoor events'  https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/romania/coronavirus","romania","restrictions on gatherings between 11-100 people"
"Russia","RUS",20201002,"C4: Restrictions on gatherings",3,"Regional","Some jurisdictions place limitations on large gatherings and mass events. See: https://ru.usembassy.gov/covid-19-information/ [accessed 12th October 2020, web archive unavailable, webpage last updated 6th October 2020]","russia","restrictions on gatherings between 11-100 people"
"Rwanda","RWA",20200903,"C4: Restrictions on gatherings",3,"National","'Authorities in Rwanda on Thursday [3 September] announced new guidelines stipulating fines for people violating health measures put in place to prevent the spread of COVID-19. Hosting mass gatherings for events such as birthday parties or bridal and baby showers will lead to a fine of 200,000 Rwandan francs (about $207). People who attend these events will be liable to pay 25,000 Rwandan francs ($25). Places of worship that reopen without permission will be fined 150,000 Rwandan francs (about $155), while those allowed to reopen will have to pay 100,000 Rwandan francs (about $104) if safety rules are breached.'    https://archive.vn/yzs3v","rwanda","restrictions on gatherings between 11-100 people"
"Saudi Arabia","SAU",20200929,"C4: Restrictions on gatherings",3,"National","Most commercial services and activities are currently available, though crowd size is limited to no more than 50. Grocery stores remain well stocked, and malls, shops, and private entities are open, though some may only offer limited services. https://web.archive.org/web/20200925062808/https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/","saudi arabia","restrictions on gatherings between 11-100 people"
"Sudan","SDN",20200925,"C4: Restrictions on gatherings",3,"National","No information found. Assume that policy is cotinued.","sudan","restrictions on gatherings between 11-100 people"
"Senegal","SEN",20200918,"C4: Restrictions on gatherings",2,"National","""The Government of Senegal has separately authorized the reopening of cultural spaces accommodating up to 500 people.""  http://web.archive.org/web/20200927111754/https://sn.usembassy.gov/covid-19-information/","senegal","restrictions on gatherings between 101-1000 people"
"Singapore","SGP",20201003,"C4: Restrictions on gatherings",4,"National","""From 3 October 2020, all ROs (religious organizations) will be allowed to conduct congregational and other worship services for  up to 100 persons, subject to safe distancing and safe management measures in place. MCCY is also considering a pilot to increase worship limits up to 250 persons (five zones of 50 persons for congregational services) and will release further details subsequently.    From 3 October 2020, we will be expanding the current pilot for wedding receptions to allow up to 100 unique attendees (including the wedding couple, excluding vendors and service providers) in total, subject to premise capacity. Participants in a wedding can be split into multiple zones of up to 50 persons each, or split by staggered timings with up to 50 persons in each slot. There should be at least 30 minutes between slots for cleaning and disinfection of the event space. The cap for marriage solemnisations will also be increased to 100 persons [2], split across multiple zones of up to 50 persons each. Venue operators may impose a lower cap if they are unable to comply with the zoning or staggered timing requirements.""    Only exceptions for religious gatherings and weddings were announced (since we report the stricter measures-only up to 5 people are allowed to gather together outside the home and households can receive up to 5 visitors at one time,- this indicator was coded as 4G)    Source:  https://www.moh.gov.sg/news-highlights/details/resuming-more-activities-safely  http://web.archive.org/web/20201003115757/https://www.gov.uk/foreign-travel-advice/singapore/coronavirus","singapore","restrictions on gatherings of <= 10 people"
"Solomon Islands","SLB",20200812,"C4: Restrictions on gatherings",0,NA,"No new update.","solomon islands","no restrictions"
"Sierra Leone","SLE",20200929,"C4: Restrictions on gatherings",2,"National","No change in policy found. Following Saba Mahood's note from September 12th, noting that the ban is on gatherings of more than 100 people, and thus qualifies as 2.","sierra leone","restrictions on gatherings between 101-1000 people"
