"CountryName","public_transport-CountryCode","public_transport-Date","Public Transport","public_transport-PolicyValue","public_transport-Flag","public_transport-Notes","public_transport-region","public_transport-value"
"Luxembourg","LUX",20200903,"C5: Close public transport",0,NA,"No recent updates to “COVID-19: “Changes and measures taken in public and specific transport” in Luxembourg.  Source: http://web.archive.org/web/20200912150946/https://www.mobiliteit.lu/fr/coronavirus-fr/  ","luxembourg","no measures"
"Latvia","LVA",20201003,"C5: Close public transport",0,NA,"Is public transportation operating?  Yes  For those arriving from countries with a high number of confirmed COVID-19 cases, masks are required on public transportation and in taxis when travelling to the place of self-isolation.  The list of countries can be viewed on the website of the Latvia`s Centre for Disease Prevention and Control (Slimibu profilakses un kontroles centrs).  Following the 10-day period of self-isolation, masks are no longer required to be worn on public transportation or in taxis","latvia","no measures"
"Macao","MAC",20200928,"C5: Close public transport",0,NA,"No change ","macao","no measures"
"Morocco","MAR",20200624,"C5: Close public transport",0,NA,"With regard to measures to stimulate economic activities at the national level, it was decided to:  - Resume (road or rail) public transport between cities, according to predefined conditions.  - Resume domestic flights, according to predefined conditions.    http://archive.fo/xcNzP","morocco","no measures"
"Moldova","MDA",20200717,"C5: Close public transport",0,NA,"Masks are required on public transport.https://web.archive.org/web/20200727230419/https://www.gov.uk/foreign-travel-advice/moldova/coronavirus","moldova","no measures"
"Madagascar","MDG",20200922,"C5: Close public transport",0,NA,"No policy change found    https://web.archive.org/web/20201001184155/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","madagascar","no measures"
"Mexico","MEX",20200918,"C5: Close public transport",1,"National","Mexico has lifted stay at home orders in some areas and resumed some transportation and business operations.    http://web.archive.org/web/20200927195013/https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/","mexico","recommend closing/ significantly reduce volume"
"Mali","MLI",20200915,"C5: Close public transport",0,NA,"No restrictions  https://web.archive.org/web/20200924144234/https://ml.usembassy.gov/covid-19-information/","mali","no measures"
"Myanmar","MMR",20201005,"C5: Close public transport",1,"Regional","On 5th October, the Ministry of Health and Sports issued an order for the Stay-at-Home programme which had expanded to cover people in all townships, except for Cocogyun Township.   http://web.archive.org/web/20201006153325/https://eurocham-myanmar.org/post/652/Announcement-on-Stay-at-Home-Programme-on-All-Township-Except-for-Cocogyun-Township   http://web.archive.org/web/20201006150824/https://eurocham-myanmar.org/uploads/39cff-stay-at-home-for-all-township-except-cocogyun-township-eng-ver.pdf   ","myanmar","recommend closing/ significantly reduce volume"
"Mongolia","MNG",20200730,"C5: Close public transport",0,NA,"Domestic flights, trains, and inter-city buses normally run.    http://archive.vn/EC3SP","mongolia","no measures"
"Mozambique","MOZ",20200729,"C5: Close public transport",0,NA,"The state of emergency that has been in effect in Mozambique since April expired at midnight on Jul 29. However, the country's constitution does not allow another extension (extensions have been used in the past) and legally speaking all measures seem to have expired without the possibility of reinstating them. Mozambique's government is looking into legal ways of reimposing a state of emergency and it seems that parliament has approved a new state of emergency to come into effect on Aug 7. I can't find any information about the legal requirements for following any measures but on Jul 29 Mozambique's President recommended that even though there are no restrictions in place, people should continue to follow the previous guidelines.     ""The state of emergency, decreed on 1 April, expired at midnight on Wednesday 29 July. The constitution limits a state of emergency to a maximum of 120 days, and so Nyusi could not extend it. With the end of the state of emergency, many of the restrictive measures cease to have the force of law - but in his speech to the nation on Wednesday, the President urged people to continue obeying them anyway, as a matter of public health.    Among the measures are the closure of all schools, the closure of bars and places of nocturnal entertainment, a ban on public political, religious, cultural and sporting events that are likely to attract crowds, limitations on the number of people who can attend funerals, and compulsory wearing of masks in most public places. (AIM 30,31 July)""    http://web.archive.org/web/20200806212332/https://allafrica.com/stories/202008030735.html  http://web.archive.org/web/20200806212407/https://www.dw.com/pt-002/covid-19-apreens%C3%A3o-e-expetativa-em-mo%C3%A7ambique-sobre-os-pr%C3%B3ximos-passos/a-54396987    And    ""Mozambican President Filipe Nyusi has announced another 30 days of emergency from Friday midnight in a bid to limit the spread of coronavirus.  This is the second time the country has declared a health emergency since March when it confirmed its first case.  In a televised address on Wednesday night, President Nyusi outlined a phased easing of restrictions.  Phase one starts on 18 August with the resumption of classes at higher education institutions, military academies and technical training institutes. Religious gatherings will be allowed but limited to 50 people.""  http://web.archive.org/web/20200806213001/https://www.bbc.com/news/topics/cjnwl8q4x1lt/mozambique","mozambique","no measures"
"Mauritania","MRT",20200925,"C5: Close public transport",0,NA,"Travel advisories indicate that public transit has reopened, with facial coverings required.  https://web.archive.org/web/20201007023236/https://www.gov.uk/foreign-travel-advice/mauritania/coronavirus","mauritania","no measures"
"Mauritius","MUS",20200826,"C5: Close public transport",0,NA,"Public transportation is operating, however, masks are required.    Source: http://web.archive.org/web/20200904193637/https://mu.usembassy.gov/covid-19-information/","mauritius","no measures"
"Malawi","MWI",20200918,"C5: Close public transport",0,NA,"Public transport continues to operate throughout Malawi with some restrictions and coronavirus precautionary measures in place. Source: http://web.archive.org/web/20200608130226/https://www.gov.uk/foreign-travel-advice/malawi/entry-requirements","malawi","no measures"
"Malaysia","MYS",20200921,"C5: Close public transport",0,NA,"According to the US embassy website, public transportation is operating, and masks are required.  http://web.archive.org/web/20201001195503/https://my.usembassy.gov/covid-19-information/   ","malaysia","no measures"
"Namibia","NAM",20200726,"C5: Close public transport",0,NA,"As lockdown measures are eased and there are interregional travel is allowed, it is assumed that public transport is allowed to begin. Social distancing and hygiene measures will continue.   https://web.archive.org/save/https://www.bloomberg.com/news/articles/2020-06-22/namibia-eases-lockdown-to-lowest-level-except-for-walvis-bay","namibia","no measures"
"Niger","NER",20201012,"C5: Close public transport",0,NA,"Per government site nothing noted about closings.    /web/20201012161509/https://coronavirus.ne/","niger","no measures"
"Nigeria","NGA",20200925,"C5: Close public transport",0,NA,"Transportation Options:  Are commercial flights operating? Yes  Is public transportation operating? Yes  Passengers must wear face masks when taking public transportation.  Source: http://web.archive.org/web/20201004075437/https://ng.usembassy.gov/u-s-citizen-services/covid-19-information/","nigeria","no measures"
"Nicaragua","NIC",20201001,"C5: Close public transport",0,NA,"No change.","nicaragua","no measures"
"Netherlands","NLD",20200924,"C5: Close public transport",0,NA,"Rules remain unchanged. Public transport is open and operating as normal. However everyone has to wear a face mask and people are encouraged where possible to avoid peak travel hours, keep 1.5 meters distance and travel via bike if possible.  http://web.archive.org/web/20200924155651/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/verkeer-en-openbaar-vervoer/openbaar-vervoer  ","netherlands","no measures"
"Norway","NOR",20201003,"C5: Close public transport",0,NA,"No change.","norway","no measures"
"Nepal","NPL",20200917,"C5: Close public transport",1,"National","The government announced it would allow limited long-range public bus transportation beginning September 17. Buses will be allowed to operate only at 50% capacity and will be subject to strict COVID mitigation measures. See: https://np.usembassy.gov/covid-19-information-2/ (web archive not available, accessed 17th September 2020)","nepal","recommend closing/ significantly reduce volume"
"New Zealand","NZL",20200901,"C5: Close public transport",0,NA,"Public transport is open, but masks are required.   http://web.archive.org/web/20200913194657/https://www.aljazeera.com/news/2020/08/face-masks-mandatory-zealand-auckland-lockdown-lifted-200831040934642.html   http://web.archive.org/web/20200913200137/https://covid19.govt.nz/alert-system/alert-level-2/   ","new zealand","no measures"
"Oman","OMN",20201011,"C5: Close public transport",2,"National","Oman reintroduced an overnight curfew (8pm-5am) in an attempt to tame a second wave of Covid-19 cases from 11-24 October. 'Only select vehicles will be allowed to move during these hours. These include emergency, medical and service transport vehicles, vehicles carrying passengers to and from the airport or trucks carrying supplies', while bus services within Muscat, the capital of Oman, operate only till 6pm during this period (bus services outside Muscat are not resumed yet).    https://archive.vn/ybOQA  https://archive.vn/H0YOO","oman","require closing"
"Pakistan","PAK",20200918,"C5: Close public transport",0,NA,"No stringent policy on public transport.","pakistan","no measures"
"Panama","PAN",20200914,"C5: Close public transport",2,"National","Limited and not operating during hours of total quarantine.   https://web.archive.org/web/20200914130050/https://www.gov.uk/foreign-travel-advice/panama/coronavirus","panama","require closing"
"Peru","PER",20200828,"C5: Close public transport",2,"Regional","On the 28th August 2020 the Peruvian Government announced that national emergency would continue until 30th September 2020. This includes the regulations relating to public transport.     Link: https://web.archive.org/web/20200907171925/https://medicalxpress.com/news/2020-08-peru-coronavirus-state-emergency.html","peru","require closing"
"Philippines","PHL",20201001,"C5: Close public transport",1,"Regional","No change in policy found.","philippines","recommend closing/ significantly reduce volume"
"Papua New Guinea","PNG",20200925,"C5: Close public transport",0,NA,"Public transport may operate as long as facial masks are worn.    https://web.archive.org/web/20201006130508/https://covid19.info.gov.pg/files/National%20Pandemic%20Measures/Pandemic%20Measures%2005102020/M%2011%20Oct%202020.pdf","papua new guinea","no measures"
"Poland","POL",20200929,"C5: Close public transport",0,NA,"For further coding: this is going to change from Saturday (10.10.2020) onwards:  https://www.reuters.com/article/idUSW8N2EZ01G","poland","no measures"
"Puerto Rico","PRI",20200901,"C5: Close public transport",2,"National","No recent policy changes found in public transportation","puerto rico","require closing"
"Portugal","PRT",20200918,"C5: Close public transport",0,NA,"Taxis are operating. Use the back seat, open the window, if possible, and respect the rules on maximum capacity. Avoid paying in cash, where possible. Facemasks are mandatory for everyone over the age of 10 on all forms of public transport and private hire. Source: http://web.archive.org/web/20201001113703/https://www.gov.uk/foreign-travel-advice/portugal/entry-requirements","portugal","no measures"
"Paraguay","PRY",20200825,"C5: Close public transport",0,NA,"Public transportation is operating.All travelers must wear a mask to board public buses.?   The Paraguayan government has authorized up to four persons to travel together in private cars and SUVs and two persons by motorcycle.? This information is still in effect. Source: http://web.archive.org/web/20200902145858/https://py.usembassy.gov/covid-19-information-2/","paraguay","no measures"
"Palestine","PSE",20200716,"C5: Close public transport",2,"Regional","NB: Public transportation is generally permitted within governorates, but remains suspended between governorates. See: https://reliefweb.int/report/occupied-palestinian-territory/occupied-palestinian-territory-opt-covid-19-emergency-10 (web archive not working)","palestine","require closing"
"Qatar","QAT",20200901,"C5: Close public transport",1,"National","Qatar resumed bus and rail services on Tuesday for the first time since March, with reduced capacity and tough restrictions to limit the risk of coronavirus spreading between passengers.  Link: https://web.archive.org/web/20200909161144/https://www.gov.uk/foreign-travel-advice/qatar/coronavirus","qatar","recommend closing/ significantly reduce volume"
"Romania","ROU",20200617,"C5: Close public transport",0,NA,"The Romanian Government’s decision no. 476 of June 16 extended the state of alert in Romania by 30 days starting June 17.       The state of alert establishes the following:   - Mandatory wearing of “protection masks” in closed public spaces, stores, public transportation, and at the workplace;  - Resumption of routine health care by appointment and opening of dental offices;  - Opening of hotels, small commercial centers, groceries, cleaners, opticians, stores with direct access to the outside, shopping malls, fitness clubs and outdoor swimming pools;  - Opening of parks (but not playgrounds);  - Private indoor events or no more than 20 people and outdoor events of no more than 50 people.    Link: https://web.archive.org/web/20200717141723/https://ro.usembassy.gov/covid-19-information/","romania","no measures"
"Russia","RUS",20200901,"C5: Close public transport",0,NA,"No measures found relative to closing transports on the RF's coronavirus official website nor in the news, other than masks are mandatory in some cities.","russia","no measures"
"Rwanda","RWA",20200904,"C5: Close public transport",2,"Regional","Public transport between the capital Kigali and other districts will be suspended.    https://archive.vn/yzs3v#selection-1033.112-1033.194","rwanda","require closing"
"Saudi Arabia","SAU",20200821,"C5: Close public transport",0,NA,"No change  https://web.archive.org/web/20200831223228/https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/ ","saudi arabia","no measures"
"Sudan","SDN",20200924,"C5: Close public transport",0,NA,"Interstate and intercity public transportation is fully operational.  Link: https://web.archive.org/web/20201008003833/https://sd.usembassy.gov/covid-19-information/","sudan","no measures"
"Senegal","SEN",20200918,"C5: Close public transport",0,NA,"""On September 16, the Government of Senegal announced that public transportation services (taxis, care rapides and intercity buses) are permitted to transport the maximum number of passengers, provided all passengers wear a mask. ""  http://web.archive.org/web/20200927111754/https://sn.usembassy.gov/covid-19-information/","senegal","no measures"
"Singapore","SGP",20200924,"C5: Close public transport",0,NA,"As confirmed in the previous note, public transportation is operating. However, travellers are required to wear masks, including in taxis and ride-hailing services.    Source: http://web.archive.org/web/20201003110059/https://sg.usembassy.gov/u-s-citizen-services/covid-19-information/ ","singapore","no measures"
"Solomon Islands","SLB",20200812,"C5: Close public transport",0,NA,"No new update.","solomon islands","no measures"
"Sierra Leone","SLE",20200929,"C5: Close public transport",0,NA,"No change in policy found","sierra leone","no measures"
"El Salvador","SLV",20200930,"C5: Close public transport",0,NA,"Public transportation is operating and available to the public. Taxis and other private transportation companies are also operating normally. The Government of El-Salvador recommends wearing a mask at all times.    Source: http://web.archive.org/web/20201010100434/https://sv.usembassy.gov/covid-19-information/","el salvador","no measures"
"San Marino","SMR",20200915,"C5: Close public transport",0,NA,"No change","san marino","no measures"
"Somalia","SOM",20200911,"C5: Close public transport",0,NA,"Is public transportation operating? Yes  Source: http://web.archive.org/web/20200923210240/https://so.usembassy.gov/covid-19-information/","somalia","no measures"
"Serbia","SRB",20201001,"C5: Close public transport",0,NA,"No change in policy: https://web.archive.org/save/https://www.srbija.gov.rs/news/section.php?id=151926&start=0","serbia","no measures"
"South Sudan","SSD",20200922,"C5: Close public transport",0,NA,"Interstate and intercity public transportation is fully operational.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","no measures"
"Suriname","SUR",20200915,"C5: Close public transport",0,NA,"Public transportation is operating and taxis and buses are available.    Source: http://web.archive.org/web/20200923123510/https://sr.usembassy.gov/covid-19-information","suriname","no measures"
"Slovakia","SVK",20201005,"C5: Close public transport",0,NA,"""Local public transport is running as normal, but face masks are required.""    ","slovakia","no measures"
"Slovenia","SVN",20201009,"C5: Close public transport",0,NA,"https://web.archive.org/web/20201014110427/https://www.gov.si/en/topics/coronavirus-disease-covid-19/","slovenia","no measures"
"Sweden","SWE",20200821,"C5: Close public transport",0,NA,"No change in policy found. ","sweden","no measures"
"Eswatini","SWZ",20201001,"C5: Close public transport",1,"National","Passengers are required to wear masks and use hand sanitizer upon entry into the vehicle. Vehicles cannot exceed 50 percent of capacity. https://web.archive.org/web/20201008123737/https://sz.usembassy.gov/covid-19-information/","eswatini","recommend closing/ significantly reduce volume"
"Seychelles","SYC",20200810,"C5: Close public transport",0,NA,"Public transport is open but with social distancing and mask wearing requirements.  Reference:  http://web.archive.org/web/20201011101721/http://www.health.gov.sc/wp-content/uploads/COVID-19-GUIDANCE-FOR-PASSIVE-SURVEILLANCE.pdf  http://web.archive.org/web/20201011080029/http://www.health.gov.sc/wp-content/uploads/Conditions-for-entry-of-persons-into-Seychelles-as-of-1st-October-2020.pdf","seychelles","no measures"
"Syria","SYR",20201003,"C5: Close public transport",0,NA,"""Public and private transportation services have resumed (...)""    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","no measures"
"Turks and Caicos Islands","TCA",20200814,"C5: Close public transport",0,NA,"Existing measures continue","turks and caicos islands","no measures"
"Chad","TCD",20200929,"C5: Close public transport",1,"National","Continues to be the advice on US embassy website: Masks are required and a limited number of passengers is allowed for public transportation http://web.archive.org/web/20200928020501/https://td.usembassy.gov/covid-19-information/","chad","recommend closing/ significantly reduce volume"
"Togo","TGO",20200829,"C5: Close public transport",0,NA,"""Is public transportation operating? [Yes]    Services continue with reduced passengers. All moto-taxis and their passengers must wear face masks per government decree.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/  ","togo","no measures"
"Thailand","THA",20200907,"C5: Close public transport",0,NA,"""Domestic Flights to Resume Under Strict Guidelines: The CAAT has announced new guidelines for the operation of domestic flights within Thailand.  The key measures include: 1) passengers must wear face masks and gloves at all times; 2) passengers must adhere to airlines’ social distancing requirements from check-in and boarding through landing and there must be empty seats between passengers; 3) flight crews will wear masks and gloves at all times; and 4) flight crews will not serve food or beverages on the plane and passengers are prohibited from bringing outside food on the plane.""  https://th.usembassy.gov/u-s-citizen-services/covid-19-information/","thailand","no measures"
"Tajikistan","TJK",20200828,"C5: Close public transport",0,NA,"As of 15 August 2020, public transport in Dushanbe has been putted in full capacity. https://web.archive.org/web/20200907103641/https://reliefweb.int/report/tajikistan/covid-19-tajikistan-situation-report-15-18-august-2020","tajikistan","no measures"
"Turkmenistan","TKM",20201002,"C5: Close public transport",1,"National","Public transport remains severely limited - railways not running and road travel restrictions in place  http://archive.today/2020.10.01-172413/https://rus.azathabar.com/a/30866535.html  http://web.archive.org/web/20201012221726/https://www.gov.uk/foreign-travel-advice/turkmenistan/coronavirus","turkmenistan","recommend closing/ significantly reduce volume"
"Timor-Leste","TLS",20200820,"C5: Close public transport",0,NA,"No closure. https://web.archive.org/web/20200831010604/https://tl.usembassy.gov/covid-19-information/","timor-leste","no measures"
"Trinidad and Tobago","TTO",20200912,"C5: Close public transport",1,"National","As announced at the Prime Minister's Media Conference on 12th September 2020, Maxi-Taxis will be allowed to operate at a 65 per cent capacity. The Ministry of Health has approved a seating arrangement map which will allow for physical distancing to be maintained in the vehicles.   http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","recommend closing/ significantly reduce volume"
"Tunisia","TUN",20200926,"C5: Close public transport",0,NA,"Public transportation is also operating; masks are mandatory in all public transportation vehicles.    https://web.archive.org/web/20201007114252/https://tn.usembassy.gov/covid-19-information/","tunisia","no measures"
"Turkey","TUR",20200923,"C5: Close public transport",1,"National","""Standing passengers will not be allowed in urban public transportation vehicles where physical distance rules cannot be applied.""    http://web.archive.org/web/20201005130702/https://tr.usembassy.gov/covid-19-information-2/","turkey","recommend closing/ significantly reduce volume"
"Tanzania","TZA",20200917,"C5: Close public transport",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no measures"
"Uganda","UGA",20200926,"C5: Close public transport",0,NA,"Movement by personal vehicles is now permitted in all districts, including those with an international border, but is still limited to 4 people per car (including the driver) and all must wear masks if there is more than one person in the vehicle.    Travel by public transport (including minibus taxis, buses, coaches, passenger trains) is now allowed. Tuk tuks and boda bodas (motorbike taxis) are allowed to carry passengers, but must stop operating by 6pm.  Source: http://web.archive.org/web/20201005153438/https://www.gov.uk/foreign-travel-advice/uganda/coronavirus  ","uganda","no measures"
"Ukraine","UKR",20200916,"C5: Close public transport",2,"Regional","Oleh Gelevey, the chairman of Kyiv's Medical Commission and a member of Kyiv City Council, said on 16 September that, Kyiv, the capital city which has been in the ""Orange Zone"" since 14 September, may become part of the ""Red Zone"" if the pandemic keeps worsening: 'the subway, all transport, and all educational institutions, and public catering will have to be shut down in the red zone'.    https://archive.vn/JKiAJ","ukraine","require closing"
"Uruguay","URY",20200724,"C5: Close public transport",0,NA,"Still current ","uruguay","no measures"
"United States of America","USA",20200929,"C5: Close public transport",1,"Regional","Public transit systems throughout the country are open but often operate with restrictions.","united states of america","recommend closing/ significantly reduce volume"
"Uzbekistan","UZB",20200924,"C5: Close public transport",1,"National","Note: Public transportation is operating, with masks and proper social distancing measures mandatory. See: https://uz.usembassy.gov/covid-19-information/ [accessed 5 October 2020, web archive unavailable]","uzbekistan","recommend closing/ significantly reduce volume"
"Venezuela","VEN",20200823,"C5: Close public transport",1,"Regional","No new information found. ","venezuela","recommend closing/ significantly reduce volume"
"Vietnam","VNM",20200926,"C5: Close public transport",2,"Regional","In line with the order, domestic flights have been significantly reduced to just one round trip a day between Hanoi and Ho Chi Minh City; Hanoi and Da Nang; Ho Chi Minh City and Da Nang. Passenger trains between Hanoi and Ho Chi Minh City are also limited to two trips a day. Public transport services will be suspended while transport from region to region will be minimized except for essential services.    https://web.archive.org/web/20201008102450/https://www.vietnam-briefing.com/news/vietnam-business-operations-and-the-coronavirus-updates.html/","vietnam","require closing"
"Vanuatu","VUT",20200923,"C5: Close public transport",0,NA,"No change.","vanuatu","no measures"
"Yemen","YEM",20200713,"C5: Close public transport",0,NA,"A 13 July report from an IRC representative in Yemen indicates no public transit closures are in effect in government-controlled regions despite official recommendations to practice social distancing.    Reported in the Telegraph: ""Few precautions have been enacted to stop the spread, said Tamuna Sabadze, head of the International Rescue Committee aid agency in Yemen.  “There are no restrictions on movement, the shops, malls, markets, everything is open. There is no social distancing, public transport is moving freely. There are no prevention measures in place that can actually prevent the spread of the virus and it doesn't just disappear on its own.”""    http://archive.fo/KtSes","yemen","no measures"
"South Africa","ZAF",20200928,"C5: Close public transport",0,NA,"Public transportation is operational  "" Individuals are required to wear a face mask if using public transport, which is operating with strict hygiene requirements and reduced passenger numbers.""    https://web.archive.org/web/20201010023153/https://www.garda.com/crisis24/news-alerts/385101/south-africa-international-travel-to-and-from-certain-countries-resumes-october-1-update-29","south africa","no measures"
"Zambia","ZMB",20200926,"C5: Close public transport",0,NA,"Transportation Options:    Are commercial flights operating? Yes  Is public transportation operating? Yes   Masks are required to be worn in public and on public transportation.  Source: http://web.archive.org/web/20201004153230/https://zm.usembassy.gov/covid-19-information-2/","zambia","no measures"
"Zimbabwe","ZWE",20200821,"C5: Close public transport",1,"National","Some modes of public transport are banned in Zimbabwe. Most people have to use private vehicles which now act as the main mode of public transport.   https://web.archive.org/web/20200829050022/https://www.aa.com.tr/en/africa/zimbabwe-s-banned-kombi-operators-turn-vehicles-to-mobile-stores/1889248","zimbabwe","recommend closing/ significantly reduce volume"
"Taiwan","TWN",20200401,"C5: Close public transport",0,NA,"Wearing mask while riding on public transport is required. https://web.archive.org/web/20200402172349/https://www.cna.com.tw/news/firstnews/202003315014.aspx ","taiwan","no measures"
"Kosovo","RKS",20200908,"C5: Close public transport",1,"National","Same policy.","kosovo","recommend closing/ significantly reduce volume"
"Anguilla","AIA",20200901,"C5: Close public transport",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no measures"
"Falkland Islands","FLK",20200901,"C5: Close public transport",0,NA,"No changes in measures published on government COVID-19 website.    https://web.archive.org/web/20200927181612/https://fig.gov.fk/covid-19/","falkland islands","no measures"
"Montserrat","MSR",20200701,"C5: Close public transport",0,NA,"No public transport on montserrat","montserrat","no measures"
