"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Botswana","BWA",20201130,"C6: Stay at home requirements",1,"National","No change.   Are there restrictions on intercity or interstate travel? Yes  Botswana is divided into 9 geographical zones (map available at gov.bw) and permits are only needed to travel between zones. Residents may travel within their zone without permits.  Permits for inter-zone travel may be acquired online at gov.bw and are restricted to essential travel. COVID-19 tests may be required at any time for those transiting zones. Tourism is considered essential travel for economic reasons, and Botswana residents may organize permit applications with a reservation confirmation from their destination lodging.    https://web.archive.org/web/20201206230207/https://www.gov.bw/about-covid-19  https://web.archive.org/web/20201206231725/https://bw.usembassy.gov/covid-19-information/","botswana","recommend not leaving house"
"Central African Rep.","CAF",20201124,"C6: Stay at home requirements",0,NA,"no mentions of any stay at home requirements - there is mention of quarantine and isolation centers, but that they are very sparse and that more are needed. ""There are only four COVID-19 treatment centres in Bangui and seven health isolation centres for the treatment of mild and moderate cases or to provide quarantine outside the capital. This situation makes it extremely challenging for the government and humanitarian organizations to respond to the pandemic and maintain essential services."" https://web.archive.org/web/20201207181557if_/https://reports.unocha.org/en/country/car/","central african rep.","no measures"
"Canada","CAN",20201207,"C6: Stay at home requirements",1,"National","Although not as prescriptive as some Canadian jurisdictions, effective 7 December, the province of Prince Edward Island (PEI) asked residents to work and shop from home whenever possible. See government of PEI website, archived:  https://web.archive.org/web/20201207125737/https://www.princeedwardisland.ca/en/information/health-and-wellness/pei-covid-19-circuit-breaker-december-2020","canada","recommend not leaving house"
"Switzerland","CHE",20201019,"C6: Stay at home requirements",1,"National","From 18 Oct, working from home is explicitly recommended.     http://web.archive.org/web/20201207193013/https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html","switzerland","recommend not leaving house"
"Chile","CHL",20201124,"C6: Stay at home requirements",3,"Regional","There's a nationwide daily curfew from 12:00AM to 5:00 AM, but there are also specific regions listed that are in quarantine.   https://web.archive.org/web/*/https://cl.usembassy.gov/covid-19-information/  https://web.archive.org/web/*/https://www.minsal.cl/nuevo-coronavirus-2019-ncov/","chile","require not leaving house with min exceptions"
"China","CHN",20201125,"C6: Stay at home requirements",3,"Regional","No policy change in Tianjin or Manzhouli.    A region in DongJiangGang District of Tianjian remained as a high-risk area. Residents within the region were required staying at home.  Source:  https://web.archive.org/web/20201128013049/https://www.thepaper.cn/newsDetail_forward_10147397  http://web.archive.org/web/20201128015701/http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/tianjin/Document/1693290/1693290.htm","china","require not leaving house with min exceptions"
"Côte d'Ivoire","CIV",20201201,"C6: Stay at home requirements",1,"Regional","No policy change","côte d'ivoire","recommend not leaving house"
"Cameroon","CMR",20201124,"C6: Stay at home requirements",0,NA,"  There is no curfew in place according to the Embassy of the US in Cameroon. Please see:   https://web.archive.org/web/20201206224307/https://cm.usembassy.gov/covid-19-information/  ","cameroon","no measures"
"Dem. Rep. Congo","COD",20201027,"C6: Stay at home requirements",0,NA,"Everything has been resumed since August in regards to COVID: https://web.archive.org/web/20201021163042/http://stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","no measures"
"Congo","COG",20201130,"C6: Stay at home requirements",2,"Regional","The curfew remains in place in Pointe-Noire and Brazzaville from 11pm until 5am. This is according to the UK government's website on travel to the Congo. Please see: https://web.archive.org/web/20201206213339/https://www.gov.uk/foreign-travel-advice/congo/-coronavirus","congo","require not leaving house except for essentials"
